PassengerId,Age,SibSp,Parch,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Survived
141,23,0,2,1.0,0.0,0.0,0.0,1.0,0
142,22,0,0,1.0,0.0,0.0,0.0,1.0,1
143,24,1,0,1.0,0.0,0.0,0.0,1.0,1
144,19,0,0,0.0,1.0,0.0,0.0,1.0,0
145,18,0,0,0.0,1.0,0.0,1.0,0.0,0
146,19,1,1,0.0,1.0,0.0,1.0,0.0,0
147,27,0,0,0.0,1.0,0.0,0.0,1.0,1
148,9,2,2,1.0,0.0,0.0,0.0,1.0,0
149,36,0,2,0.0,1.0,0.0,1.0,0.0,0
150,42,0,0,0.0,1.0,0.0,1.0,0.0,0
151,51,0,0,0.0,1.0,0.0,1.0,0.0,0
152,22,1,0,1.0,0.0,1.0,0.0,0.0,1
153,55,0,0,0.0,1.0,0.0,0.0,1.0,0
154,40,0,2,0.0,1.0,0.0,0.0,1.0,0
155,45,0,0,0.0,1.0,0.0,0.0,1.0,0
156,51,0,1,0.0,1.0,1.0,0.0,0.0,0
157,16,0,0,1.0,0.0,0.0,0.0,1.0,1
158,30,0,0,0.0,1.0,0.0,0.0,1.0,0
159,34,0,0,0.0,1.0,0.0,0.0,1.0,0
160,39,8,2,0.0,1.0,0.0,0.0,1.0,0
161,44,0,1,0.0,1.0,0.0,0.0,1.0,0
162,40,0,0,1.0,0.0,0.0,1.0,0.0,1
163,26,0,0,0.0,1.0,0.0,0.0,1.0,0
164,17,0,0,0.0,1.0,0.0,0.0,1.0,0
165,1,4,1,0.0,1.0,0.0,0.0,1.0,0
166,9,0,2,0.0,1.0,0.0,0.0,1.0,1
167,27,0,1,1.0,0.0,1.0,0.0,0.0,1
168,45,1,4,1.0,0.0,0.0,0.0,1.0,0
169,36,0,0,0.0,1.0,1.0,0.0,0.0,0
170,28,0,0,0.0,1.0,0.0,0.0,1.0,0
171,61,0,0,0.0,1.0,1.0,0.0,0.0,0
172,4,4,1,0.0,1.0,0.0,0.0,1.0,0
173,1,1,1,1.0,0.0,0.0,0.0,1.0,1
174,21,0,0,0.0,1.0,0.0,0.0,1.0,0
175,56,0,0,0.0,1.0,1.0,0.0,0.0,0
176,18,1,1,0.0,1.0,0.0,0.0,1.0,0
177,34,3,1,0.0,1.0,0.0,0.0,1.0,0
178,50,0,0,1.0,0.0,1.0,0.0,0.0,0
179,30,0,0,0.0,1.0,0.0,1.0,0.0,0
180,36,0,0,0.0,1.0,0.0,0.0,1.0,0
181,27,8,2,1.0,0.0,0.0,0.0,1.0,0
182,18,0,0,0.0,1.0,0.0,1.0,0.0,0
183,9,4,2,0.0,1.0,0.0,0.0,1.0,0
184,1,2,1,0.0,1.0,0.0,1.0,0.0,1
185,4,0,2,1.0,0.0,0.0,0.0,1.0,1
186,17,0,0,0.0,1.0,1.0,0.0,0.0,0
187,31,1,0,1.0,0.0,0.0,0.0,1.0,1
188,45,0,0,0.0,1.0,1.0,0.0,0.0,1
189,40,1,1,0.0,1.0,0.0,0.0,1.0,0
190,36,0,0,0.0,1.0,0.0,0.0,1.0,0
191,32,0,0,1.0,0.0,0.0,1.0,0.0,1
192,19,0,0,0.0,1.0,0.0,1.0,0.0,0
193,19,1,0,1.0,0.0,0.0,0.0,1.0,1
194,3,1,1,0.0,1.0,0.0,1.0,0.0,1
195,44,0,0,1.0,0.0,1.0,0.0,0.0,1
196,58,0,0,1.0,0.0,1.0,0.0,0.0,1
197,50,0,0,0.0,1.0,0.0,0.0,1.0,0
198,42,0,1,0.0,1.0,0.0,0.0,1.0,0
199,33,0,0,1.0,0.0,0.0,0.0,1.0,1
200,24,0,0,1.0,0.0,0.0,1.0,0.0,0
201,28,0,0,0.0,1.0,0.0,0.0,1.0,0
202,31,8,2,0.0,1.0,0.0,0.0,1.0,0
203,34,0,0,0.0,1.0,0.0,0.0,1.0,0
204,45,0,0,0.0,1.0,0.0,0.0,1.0,0
205,18,0,0,0.0,1.0,0.0,0.0,1.0,1
206,2,0,1,1.0,0.0,0.0,0.0,1.0,0
207,32,1,0,0.0,1.0,0.0,0.0,1.0,0
208,26,0,0,0.0,1.0,0.0,0.0,1.0,1
209,16,0,0,1.0,0.0,0.0,0.0,1.0,1
210,40,0,0,0.0,1.0,1.0,0.0,0.0,1
211,24,0,0,0.0,1.0,0.0,0.0,1.0,0
212,35,0,0,1.0,0.0,0.0,1.0,0.0,1
213,22,0,0,0.0,1.0,0.0,0.0,1.0,0
214,30,0,0,0.0,1.0,0.0,1.0,0.0,0
215,30,1,0,0.0,1.0,0.0,0.0,1.0,0
216,31,1,0,1.0,0.0,1.0,0.0,0.0,1
217,27,0,0,1.0,0.0,0.0,0.0,1.0,1
218,42,1,0,0.0,1.0,0.0,1.0,0.0,0
219,32,0,0,1.0,0.0,1.0,0.0,0.0,1
220,30,0,0,0.0,1.0,0.0,1.0,0.0,0
221,16,0,0,0.0,1.0,0.0,0.0,1.0,1
222,27,0,0,0.0,1.0,0.0,1.0,0.0,0
223,51,0,0,0.0,1.0,0.0,0.0,1.0,0
224,44,0,0,0.0,1.0,0.0,0.0,1.0,0
225,38,1,0,0.0,1.0,1.0,0.0,0.0,1
226,22,0,0,0.0,1.0,0.0,0.0,1.0,0
227,19,0,0,0.0,1.0,0.0,1.0,0.0,1
228,20,0,0,0.0,1.0,0.0,0.0,1.0,0
229,18,0,0,0.0,1.0,0.0,1.0,0.0,0
230,26,3,1,1.0,0.0,0.0,0.0,1.0,0
231,35,1,0,1.0,0.0,1.0,0.0,0.0,1
232,29,0,0,0.0,1.0,0.0,0.0,1.0,0
233,59,0,0,0.0,1.0,0.0,1.0,0.0,0
234,5,4,2,1.0,0.0,0.0,0.0,1.0,1
235,24,0,0,0.0,1.0,0.0,1.0,0.0,0
236,34,0,0,1.0,0.0,0.0,0.0,1.0,0
237,44,1,0,0.0,1.0,0.0,1.0,0.0,0
238,8,0,2,1.0,0.0,0.0,1.0,0.0,1
239,19,0,0,0.0,1.0,0.0,1.0,0.0,0
240,33,0,0,0.0,1.0,0.0,1.0,0.0,0
241,31,1,0,1.0,0.0,0.0,0.0,1.0,0
242,30,1,0,1.0,0.0,0.0,0.0,1.0,1
243,29,0,0,0.0,1.0,0.0,1.0,0.0,0
244,22,0,0,0.0,1.0,0.0,0.0,1.0,0
245,30,0,0,0.0,1.0,0.0,0.0,1.0,0
246,44,2,0,0.0,1.0,1.0,0.0,0.0,0
247,25,0,0,1.0,0.0,0.0,0.0,1.0,0
248,24,0,2,1.0,0.0,0.0,1.0,0.0,1
249,37,1,1,0.0,1.0,1.0,0.0,0.0,1
250,54,1,0,0.0,1.0,0.0,1.0,0.0,0
251,41,0,0,0.0,1.0,0.0,0.0,1.0,0
252,29,1,1,1.0,0.0,0.0,0.0,1.0,0
253,62,0,0,0.0,1.0,1.0,0.0,0.0,0
254,30,1,0,0.0,1.0,0.0,0.0,1.0,0
255,41,0,2,1.0,0.0,0.0,0.0,1.0,0
256,29,0,2,1.0,0.0,0.0,0.0,1.0,1
257,29,0,0,1.0,0.0,1.0,0.0,0.0,1
258,30,0,0,1.0,0.0,1.0,0.0,0.0,1
259,35,0,0,1.0,0.0,1.0,0.0,0.0,1
260,50,0,1,1.0,0.0,0.0,1.0,0.0,1
261,26,0,0,0.0,1.0,0.0,0.0,1.0,0
262,3,4,2,0.0,1.0,0.0,0.0,1.0,1
263,52,1,1,0.0,1.0,1.0,0.0,0.0,0
264,40,0,0,0.0,1.0,1.0,0.0,0.0,0
265,38,0,0,1.0,0.0,0.0,0.0,1.0,0
266,36,0,0,0.0,1.0,0.0,1.0,0.0,0
267,16,4,1,0.0,1.0,0.0,0.0,1.0,0
268,25,1,0,0.0,1.0,0.0,0.0,1.0,1
269,58,0,1,1.0,0.0,1.0,0.0,0.0,1
270,35,0,0,1.0,0.0,1.0,0.0,0.0,1
271,30,0,0,0.0,1.0,1.0,0.0,0.0,0
272,25,0,0,0.0,1.0,0.0,0.0,1.0,1
273,41,0,1,1.0,0.0,0.0,1.0,0.0,1
274,37,0,1,0.0,1.0,1.0,0.0,0.0,0
275,50,0,0,1.0,0.0,0.0,0.0,1.0,1
276,63,1,0,1.0,0.0,1.0,0.0,0.0,1
277,45,0,0,1.0,0.0,0.0,0.0,1.0,0
278,26,0,0,0.0,1.0,0.0,1.0,0.0,0
279,7,4,1,0.0,1.0,0.0,0.0,1.0,0
280,35,1,1,1.0,0.0,0.0,0.0,1.0,1
281,65,0,0,0.0,1.0,0.0,0.0,1.0,0
282,28,0,0,0.0,1.0,0.0,0.0,1.0,0
283,16,0,0,0.0,1.0,0.0,0.0,1.0,0
284,19,0,0,0.0,1.0,0.0,0.0,1.0,1
285,26,0,0,0.0,1.0,1.0,0.0,0.0,0
286,33,0,0,0.0,1.0,0.0,0.0,1.0,0
287,30,0,0,0.0,1.0,0.0,0.0,1.0,1
288,22,0,0,0.0,1.0,0.0,0.0,1.0,0
289,42,0,0,0.0,1.0,0.0,1.0,0.0,1
290,22,0,0,1.0,0.0,0.0,0.0,1.0,1
291,26,0,0,1.0,0.0,1.0,0.0,0.0,1
292,19,1,0,1.0,0.0,1.0,0.0,0.0,1
293,36,0,0,0.0,1.0,0.0,1.0,0.0,0
294,24,0,0,1.0,0.0,0.0,0.0,1.0,0
295,24,0,0,0.0,1.0,0.0,0.0,1.0,0
296,23,0,0,0.0,1.0,1.0,0.0,0.0,0
297,23,0,0,0.0,1.0,0.0,0.0,1.0,0
298,2,1,2,1.0,0.0,1.0,0.0,0.0,0
299,26,0,0,0.0,1.0,1.0,0.0,0.0,1
300,50,0,1,1.0,0.0,1.0,0.0,0.0,1
301,39,0,0,1.0,0.0,0.0,0.0,1.0,1
302,29,2,0,0.0,1.0,0.0,0.0,1.0,1
303,19,0,0,0.0,1.0,0.0,0.0,1.0,0
304,12,0,0,1.0,0.0,0.0,1.0,0.0,1
305,6,0,0,0.0,1.0,0.0,0.0,1.0,0
306,0,1,2,0.0,1.0,1.0,0.0,0.0,1
307,8,0,0,1.0,0.0,1.0,0.0,0.0,1
308,17,1,0,1.0,0.0,1.0,0.0,0.0,1
309,30,1,0,0.0,1.0,0.0,1.0,0.0,0
310,30,0,0,1.0,0.0,1.0,0.0,0.0,1
311,24,0,0,1.0,0.0,1.0,0.0,0.0,1
312,18,2,2,1.0,0.0,1.0,0.0,0.0,1
313,26,1,1,1.0,0.0,0.0,1.0,0.0,0
314,28,0,0,0.0,1.0,0.0,0.0,1.0,0
315,43,1,1,0.0,1.0,0.0,1.0,0.0,0
316,26,0,0,1.0,0.0,0.0,0.0,1.0,1
317,24,1,0,1.0,0.0,0.0,1.0,0.0,1
318,54,0,0,0.0,1.0,0.0,1.0,0.0,0
319,31,0,2,1.0,0.0,1.0,0.0,0.0,1
320,40,1,1,1.0,0.0,1.0,0.0,0.0,1
321,22,0,0,0.0,1.0,0.0,0.0,1.0,0
322,27,0,0,0.0,1.0,0.0,0.0,1.0,0
323,30,0,0,1.0,0.0,0.0,1.0,0.0,1
324,22,1,1,1.0,0.0,0.0,1.0,0.0,1
325,29,8,2,0.0,1.0,0.0,0.0,1.0,0
326,36,0,0,1.0,0.0,1.0,0.0,0.0,1
327,61,0,0,0.0,1.0,0.0,0.0,1.0,0
328,36,0,0,1.0,0.0,0.0,1.0,0.0,1
329,31,1,1,1.0,0.0,0.0,0.0,1.0,1
330,16,0,1,1.0,0.0,1.0,0.0,0.0,1
331,30,2,0,1.0,0.0,0.0,0.0,1.0,1
332,45,0,0,0.0,1.0,1.0,0.0,0.0,0
333,38,0,1,0.0,1.0,1.0,0.0,0.0,0
334,16,2,0,0.0,1.0,0.0,0.0,1.0,0
335,20,1,0,1.0,0.0,1.0,0.0,0.0,1
336,24,0,0,0.0,1.0,0.0,0.0,1.0,0
337,29,1,0,0.0,1.0,1.0,0.0,0.0,0
338,41,0,0,1.0,0.0,1.0,0.0,0.0,1
339,45,0,0,0.0,1.0,0.0,0.0,1.0,1
340,45,0,0,0.0,1.0,1.0,0.0,0.0,0
341,2,1,1,0.0,1.0,0.0,1.0,0.0,1
342,24,3,2,1.0,0.0,1.0,0.0,0.0,1
343,28,0,0,0.0,1.0,0.0,1.0,0.0,0
344,25,0,0,0.0,1.0,0.0,1.0,0.0,0
345,36,0,0,0.0,1.0,0.0,1.0,0.0,0
346,24,0,0,1.0,0.0,0.0,1.0,0.0,1
347,40,0,0,1.0,0.0,0.0,1.0,0.0,1
348,21,1,0,1.0,0.0,0.0,0.0,1.0,1
349,3,1,1,0.0,1.0,0.0,0.0,1.0,1
350,42,0,0,0.0,1.0,0.0,0.0,1.0,0
351,23,0,0,0.0,1.0,0.0,0.0,1.0,0
352,19,0,0,0.0,1.0,1.0,0.0,0.0,0
353,15,1,1,0.0,1.0,0.0,0.0,1.0,0
354,25,1,0,0.0,1.0,0.0,0.0,1.0,0
355,26,0,0,0.0,1.0,0.0,0.0,1.0,0
356,28,0,0,0.0,1.0,0.0,0.0,1.0,0
357,22,0,1,1.0,0.0,1.0,0.0,0.0,1
358,38,0,0,1.0,0.0,0.0,1.0,0.0,0
359,38,0,0,1.0,0.0,0.0,0.0,1.0,1
360,39,0,0,1.0,0.0,0.0,0.0,1.0,1
361,40,1,4,0.0,1.0,0.0,0.0,1.0,0
362,29,1,0,0.0,1.0,0.0,1.0,0.0,0
363,45,0,1,1.0,0.0,0.0,0.0,1.0,0
364,35,0,0,0.0,1.0,0.0,0.0,1.0,0
365,32,1,0,0.0,1.0,0.0,0.0,1.0,0
366,30,0,0,0.0,1.0,0.0,0.0,1.0,0
367,60,1,0,1.0,0.0,1.0,0.0,0.0,1
368,48,0,0,1.0,0.0,0.0,0.0,1.0,1
369,36,0,0,1.0,0.0,0.0,0.0,1.0,1
370,24,0,0,1.0,0.0,1.0,0.0,0.0,1
371,25,1,0,0.0,1.0,1.0,0.0,0.0,1
372,18,1,0,0.0,1.0,0.0,0.0,1.0,0
373,19,0,0,0.0,1.0,0.0,0.0,1.0,0
374,22,0,0,0.0,1.0,1.0,0.0,0.0,0
375,3,3,1,1.0,0.0,0.0,0.0,1.0,0
376,12,1,0,1.0,0.0,1.0,0.0,0.0,1
377,22,0,0,1.0,0.0,0.0,0.0,1.0,1
378,27,0,2,0.0,1.0,1.0,0.0,0.0,0
379,20,0,0,0.0,1.0,0.0,0.0,1.0,0
380,19,0,0,0.0,1.0,0.0,0.0,1.0,0
381,42,0,0,1.0,0.0,1.0,0.0,0.0,1
382,1,0,2,1.0,0.0,0.0,0.0,1.0,1
383,32,0,0,0.0,1.0,0.0,0.0,1.0,0
384,35,1,0,1.0,0.0,1.0,0.0,0.0,1
385,26,0,0,0.0,1.0,0.0,0.0,1.0,0
386,18,0,0,0.0,1.0,0.0,1.0,0.0,0
387,1,5,2,0.0,1.0,0.0,0.0,1.0,0
388,36,0,0,1.0,0.0,0.0,1.0,0.0,1
389,26,0,0,0.0,1.0,0.0,0.0,1.0,0
390,17,0,0,1.0,0.0,0.0,1.0,0.0,1
391,36,1,2,0.0,1.0,1.0,0.0,0.0,1
392,21,0,0,0.0,1.0,0.0,0.0,1.0,1
393,28,2,0,0.0,1.0,0.0,0.0,1.0,0
394,23,1,0,1.0,0.0,1.0,0.0,0.0,1
395,24,0,2,1.0,0.0,0.0,0.0,1.0,1
396,22,0,0,0.0,1.0,0.0,0.0,1.0,0
397,31,0,0,1.0,0.0,0.0,0.0,1.0,0
398,46,0,0,0.0,1.0,0.0,1.0,0.0,0
399,23,0,0,0.0,1.0,0.0,1.0,0.0,0
400,28,0,0,1.0,0.0,0.0,1.0,0.0,1
401,39,0,0,0.0,1.0,0.0,0.0,1.0,1
402,26,0,0,0.0,1.0,0.0,0.0,1.0,0
403,21,1,0,1.0,0.0,0.0,0.0,1.0,0
404,28,1,0,0.0,1.0,0.0,0.0,1.0,0
405,20,0,0,1.0,0.0,0.0,0.0,1.0,0
406,34,1,0,0.0,1.0,0.0,1.0,0.0,0
407,51,0,0,0.0,1.0,0.0,0.0,1.0,0
408,3,1,1,0.0,1.0,0.0,1.0,0.0,1
409,21,0,0,0.0,1.0,0.0,0.0,1.0,0
410,24,3,1,1.0,0.0,0.0,0.0,1.0,0
411,27,0,0,0.0,1.0,0.0,0.0,1.0,0
412,30,0,0,0.0,1.0,0.0,0.0,1.0,0
413,33,1,0,1.0,0.0,1.0,0.0,0.0,1
414,38,0,0,0.0,1.0,0.0,1.0,0.0,0
415,44,0,0,0.0,1.0,0.0,0.0,1.0,1
416,39,0,0,1.0,0.0,0.0,0.0,1.0,0
417,34,1,1,1.0,0.0,0.0,1.0,0.0,1
418,18,0,2,1.0,0.0,0.0,1.0,0.0,1
419,30,0,0,0.0,1.0,0.0,1.0,0.0,0
420,10,0,2,1.0,0.0,0.0,0.0,1.0,0
421,15,0,0,0.0,1.0,0.0,0.0,1.0,0
422,21,0,0,0.0,1.0,0.0,0.0,1.0,0
423,29,0,0,0.0,1.0,0.0,0.0,1.0,0
424,28,1,1,1.0,0.0,0.0,0.0,1.0,0
425,18,1,1,0.0,1.0,0.0,0.0,1.0,0
426,23,0,0,0.0,1.0,0.0,0.0,1.0,0
427,28,1,0,1.0,0.0,0.0,1.0,0.0,1
428,19,0,0,1.0,0.0,0.0,1.0,0.0,1
429,25,0,0,0.0,1.0,0.0,0.0,1.0,0
430,32,0,0,0.0,1.0,0.0,0.0,1.0,1
431,28,0,0,0.0,1.0,1.0,0.0,0.0,1
432,35,1,0,1.0,0.0,0.0,0.0,1.0,1
433,42,1,0,1.0,0.0,0.0,1.0,0.0,1
434,17,0,0,0.0,1.0,0.0,0.0,1.0,0
435,50,1,0,0.0,1.0,1.0,0.0,0.0,0
436,14,1,2,1.0,0.0,1.0,0.0,0.0,1
437,21,2,2,1.0,0.0,0.0,0.0,1.0,0
438,24,2,3,1.0,0.0,0.0,1.0,0.0,1
439,64,1,4,0.0,1.0,1.0,0.0,0.0,0
440,31,0,0,0.0,1.0,0.0,1.0,0.0,0
441,45,1,1,1.0,0.0,0.0,1.0,0.0,1
442,20,0,0,0.0,1.0,0.0,0.0,1.0,0
443,25,1,0,0.0,1.0,0.0,0.0,1.0,0
444,28,0,0,1.0,0.0,0.0,1.0,0.0,1
445,16,0,0,0.0,1.0,0.0,0.0,1.0,1
446,4,0,2,0.0,1.0,1.0,0.0,0.0,1
447,13,0,1,1.0,0.0,0.0,1.0,0.0,1
448,34,0,0,0.0,1.0,1.0,0.0,0.0,1
449,5,2,1,1.0,0.0,0.0,0.0,1.0,1
450,52,0,0,0.0,1.0,1.0,0.0,0.0,1
451,36,1,2,0.0,1.0,0.0,1.0,0.0,0
452,33,1,0,0.0,1.0,0.0,0.0,1.0,0
453,30,0,0,0.0,1.0,1.0,0.0,0.0,0
454,49,1,0,0.0,1.0,1.0,0.0,0.0,1
455,39,0,0,0.0,1.0,0.0,0.0,1.0,0
456,29,0,0,0.0,1.0,0.0,0.0,1.0,1
457,65,0,0,0.0,1.0,1.0,0.0,0.0,0
458,57,1,0,1.0,0.0,1.0,0.0,0.0,1
459,50,0,0,1.0,0.0,0.0,1.0,0.0,1
460,49,0,0,0.0,1.0,0.0,0.0,1.0,0
461,48,0,0,0.0,1.0,1.0,0.0,0.0,1
462,34,0,0,0.0,1.0,0.0,0.0,1.0,0
463,47,0,0,0.0,1.0,1.0,0.0,0.0,0
